Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_02x07_Row_Letter_Last","2x7_Pogo_Male",0.000000,0.000000,0.000000,top
"J2","Conn_02x12_Row_Letter_Last","GCT_USB4056-03-A_REVA2",0.000000,-10.160000,0.000000,top
